"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2302","Login success with valid credential","firefox","2026-09-25","passed","2026-09-25","Login Feature","","",""
"","3","Login failed with wrong password","webkit","2026-09-25","failed","2026-09-25","Login Feature","","",""
"","830","Login failed with wrong username","firefox","2026-09-25","passed","2026-09-25","Login Feature","","",""
"","3192","User can add 3 products and checkout successfully","firefox","2026-09-25","passed","2026-09-25","Checkout Feature","","",""
"","828","Login failed with wrong password","firefox","2026-09-25","passed","2026-09-25","Login Feature","","",""
"","489","Login failed with wrong username","chromium","2026-09-25","passed","2026-09-25","Login Feature","","",""
"","2","Login failed without username and password","webkit","2026-09-25","failed","2026-09-25","Login Feature","","",""
"","899","Login success with valid credential","chromium","2026-09-25","passed","2026-09-25","Login Feature","","",""
"","2","Login success with valid credential","webkit","2026-09-25","failed","2026-09-25","Login Feature","","",""
"","778","Login failed without username and password","firefox","2026-09-25","passed","2026-09-25","Login Feature","","",""
"","2","Login failed with wrong username","webkit","2026-09-25","failed","2026-09-25","Login Feature","","",""
"","514","Login failed without username and password","chromium","2026-09-25","passed","2026-09-25","Login Feature","","",""
"","3","User can add 3 products and checkout successfully","webkit","2026-09-25","failed","2026-09-25","Checkout Feature","","",""
"","1281","User can add 3 products and checkout successfully","chromium","2026-09-25","passed","2026-09-25","Checkout Feature","","",""
"","567","Login failed with wrong password","chromium","2026-09-25","passed","2026-09-25","Login Feature","","",""
